Accession	Nlevel	Rep	FW(g)	DW(g)	N%(N/DW)	TotalN(mgN/plant)	NUtE(gDW/gN)	E%(15N/N)	15N(ug15N/plant)	NUE(gDW/gappliedN)	NupE(ug15N/ugapplied15N*100%)	NupE/DW	RNAsamples	AppliedN(mg)
Akita	H	one	0.402	0.044	5.455026455	2.40021164	18.33171678	0.078416667	1.882165961	2.8314	0.89627	20.36977273	No	15.54
Akita	H	one	0.438	0.039	6.035010941	2.353654267	16.56997825	0.112886667	2.656961847	2.50965	1.26522	32.44153846	No	15.54
Akita	H	one	0.373	0.037	6.041841004	2.235481172	16.55124654	0.111346667	2.489133768	2.38095	1.1853	32.03513514	Yes	15.54
Akita	H	one	0.369	0.036	5.858108108	2.108918919	17.07035755	0.239256667	5.045729108	2.3166	2.40273	66.7425	No	15.54
Akita	H	one	0.394	0.035	6.216346154	2.175721154	16.08662026	0.176916667	3.849213341	2.25225	1.83296	52.37028571	Yes	15.54
Akita	H	one	0.265	0.024	6.219618056	1.492708333	16.07815771	0.134526667	2.008090764	1.5444	0.956234	39.84308333	No	15.54
Akita	H	two	0.655	0.062	5.858867224	3.632497679	17.0681458	0.22622	8.217436249	3.11871	3.04349	49.08854839	Yes	19.88
Akita	H	two	0.683	0.061	6.040978189	3.684996695	16.5536105	0.31403	11.57199512	3.06841	4.28592	70.26098361	No	19.88
Akita	H	two	0.626	0.059	5.852813853	3.453160173	17.08579882	0.39239	13.5498552	2.96781	5.01846	85.05864407	Yes	19.88
Akita	H	two	0.435	0.044	6.092333059	2.680626546	16.41407307	0.24555	6.582278483	2.21328	2.43788	55.40636364	No	19.88
Akita	H	two	0.403	0.035	5.791691752	2.027092113	17.26611227	0.20759	4.208040518	1.76056	1.55853	44.52942857	No	19.88
Akita	H	two	0.26	0.025	5.692464358	1.42311609	17.56708408	0.26145	3.720737016	1.25755	1.37805	55.122	No	19.88
Akita	H	three	0.367	0.037	6.195286195	2.292255892	16.14130435	0.221415	5.075398384	2.78195	1.87978	50.80486486	No	13.3
Akita	H	three	0.363	0.036	5.715756952	2.057672503	17.4954955	0.355816667	7.32154171	2.70677	2.71168	75.32444444	Yes	13.3
