Genotype	Year	NRate	StoverBiomass	StoverN	GrainBiomass	GrainN	TOTALBIOMASS	TOTAL	Nutil	TotalBiomassYield	GrainYield	StoverNUE	TotalNUE
B73	2014	L	92.9	0.5	32.6	0.5	125.5	1	32.7	5.3	1.4	92.9	125.5
B73xIHP1	2014	L	102.2	0.3	11.6	0.2	113.8	0.4	26	11	1.1	255.5	284.5
B73xILP1	2014	L	115.7	0.5	31.6	0.3	147.2	0.8	39.5	10.5	2.3	144.625	184
B73xLH82	2014	L	104.4	0.4	61.5	0.6	165.9	1	62.2	14.8	5.5	104.4	165.9
B73xMo17	2014	L	117.3	0.3	66	0.7	183.3	1.1	62.2	17.7	6.4	106.6363636	166.6363636
B73xMo17	2014	L	98.2	0.4	67.7	0.8	165.9	1.2	57.8	14.8	6	81.83333333	138.25
B73xMo17	2014	L	130.8	0.7	87.2	1	218.1	1.6	53.5	20.5	8.2	81.75	136.3125
B73xMo18W	2014	L	183.2	0.4	19.6	0.2	202.9	0.7	28.5	19	1.8	261.7142857	289.8571429
B73xOh7B	2014	L	104.1	0.2	33.9	0.3	138	0.6	60.5	13.3	3.3	173.5	230
B73xPH207	2014	L	75	0.3	49.3	0.5	124.2	0.9	58	11.4	4.5	83.33333333	138
B73xPHG47	2014	L	83.5	0.3	60	0.6	143.4	1	62.5	14.2	5.9	83.5	143.4
B73xPHG84	2014	L	96.8	0.3	41.9	0.4	138.7	0.6	64.4	12.7	3.8	161.3333333	231.1666667
FR1064	2014	L	55.3	0.5	49.2	0.7	104.5	1.1	43.5	4.9	2.3	50.27272727	95
IHP1	2014	L	94	0.7	4.3	0.2	98.3	0.8	5.1	4.9	0.2	117.5	122.875
ILP1	2014	L	78.5	0.5	28.2	0.3	106.7	0.8	33.6	4.7	1.3	98.125	133.375
IRHP1	2014	L	9	0.1	20.5	0.3	29.5	0.4	57.7	1.5	1	22.5	73.75
IRLP1	2014	L	7	0	1.5	0	8.4	0.1	18.6	0.3	0.1	70	84
LH82	2014	L	69.5	0.6	55.7	0.8	125.2	1.4	39.8	6.2	2.8	49.64285714	89.42857143
Mo17	2014	L	87.2	0.5	57.3	0.9	144.5	1.4	41.7	6.8	2.7	62.28571429	103.2142857
Mo18W	2014	L	115.6	0.6	0	0	115.6	0.6	0	5.4	0	192.6666667	192.6666667
Oh7B	2014	L	171.1	1.4	20.9	0.5	192	1.9	11.1	8.5	0.9	90.05263158	101.0526316
PH207	2014	L	65.2	0.5	54.1	0.9	119.3	1.4	38.1	5.9	2.7	46.57142857	85.21428571
PHG47	2014	L	56.4	0.4	61.1	1.1	117.5	1.5	40.6	4.6	2.4	37.6	78.33333333
PHG84	2014	L	87.3	0.6	21.3	0.4	108.5	1	21.3	3.2	0.6	87.3	108.5
B73	2014	H	179.5	2.2	128.1	2.1	307.6	4.3	29.8	15.2	6.3	41.74418605	71.53488372
IHP1	2014	H	148.1	2.5	8.1	0.3	156.2	2.8	2.9	7.7	0.4	52.89285714	55.78571429
ILP1	2014	H	127	1.4	62.4	0.6	189.4	2	31	9.4	3.1	63.5	94.7
IRHP1	2014	H	165.4	2.7	57.4	1.1	222.8	3.7	15.3	11	2.8	44.7027027	60.21621622
IRLP1	2014	H	154.7	1.8	50.6	1.3	205.4	3.1	16.2	10.1	2.5	49.90322581	66.25806452
LH82	2014	H	83.4	0.9	91.3	1.7	174.7	2.6	34.9	8.6	4.5	32.07692308	67.19230769
Mo17	2014	H	158.5	1.1	83	1.6	241.5	2.7	30.8	11.9	4.1	58.7037037	89.44444444
Oh7B	2014	H	122.6	2.1	27.3	0.6	150	2.7	10	7.4	1.4	45.40740741	55.55555556
PH207	2014	H	114.7	1.6	85.2	1.8	199.9	3.4	24.8	9.9	4.2	33.73529412	58.79411765
PHG47	2014	H	67.1	0.7	98.2	2.1	165.3	2.8	35.6	8.2	4.9	23.96428571	59.03571429
PHG84	2014	H	113.8	1.7	0	0	113.8	1.7	0	5.6	0	66.94117647	66.94117647
PHG84	2014	H	155.6	2.1	65.6	1.4	221.2	3.5	18.8	10.9	3.2	44.45714286	63.2
B73	2014	H	119.7	1	75.4	1.2	195.1	2.1	35.4	8.7	3.4	57	92.9047619
B73xIHP1	2014	H	105.5	0.7	93.8	1.6	199.3	2.3	40.6	17.7	8.3	45.86956522	86.65217391
B73xILP1	2014	H	131.8	1.3	108.6	1.1	240.3	2.3	46.5	19	8.6	57.30434783	104.4782609
B73xLH82	2014	H	100.8	0.7	152.7	1.8	253.5	2.5	62.3	21.3	12.8	40.32	101.4
B73xMo17	2014	H	126.2	0.7	144.4	2	270.6	2.7	53.8	26.7	14.3	46.74074074	100.2222222
B73xMo17	2014	H	95.2	0.5	107.3	1.5	202.5	2	53.8	19.5	10.3	47.6	101.25
B73xMo17	2014	H	129.7	0.8	140.2	1.9	270	2.7	52	25.3	13.2	48.03703704	100
B73xMo18W	2014	H	176.5	1	104	1.5	280.5	2.5	41.5	25.6	9.5	70.6	112.2
B73xOh7B	2014	H	117.4	0.9	148.6	1.7	266	2.6	56.1	26.3	14.7	45.15384615	102.3076923
B73xPH207	2014	H	90.4	0.4	122.1	1.6	212.5	2	61.5	19.9	11.5	45.2	106.25
B73xPHG47	2014	H	92.9	0.7	127	1.8	219.9	2.5	51	21.2	12.2	37.16	87.96
B73xPHG84	2014	H	116.6	0.6	135.6	1.8	252.1	2.5	54.9	24.3	13.1	46.64	100.84
FR1064	2014	H	76.4	0.8	65.1	1	141.5	1.9	34.9	6.6	3.1	40.21052632	74.47368421
