Taxonomy	Sample1	Sample10	Sample11	Sample12	Sample13	Sample14	Sample15	Sample16	Sample17	Sample18	Sample19	Sample2	Sample20	Sample21	Sample22	Sample23	Sample24	Sample25	Sample26	Sample27	Sample28	Sample29	Sample3	Sample30	Sample31	Sample32	Sample33	Sample34	Sample4	Sample5	Sample6	Sample7	Sample8	Sample9	Tax_detail
Bacteroides	0.648132427843803	0	0.00503778337531486	0.012241054613936	0.0131979695431472	0.00516262261228704	0.00437876299945265	0	0.00234521575984991	0	0.643340234644582	0.521927820922796	0.559613059250302	0.469164353993216	0.460843819393042	0.00058399844267082	0.0249662618083671	0.00573300573300573	0	0.611415168100078	0.00309036658141517	0.00771177250271117	0.610578136834133	0.000504489960649783	0.00550357732526142	0.00130586186883343	0.000830288940551312	0.00128113879003559	0.581309599491418	0.00330788804071247	0.00220896841175171	0.00992317541613316	0.0205160087037613	0.694656488549618	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;
Pseudomonas	0	0.0206782464846981	0.0134340890008396	0.387947269303202	0.226395939086294	0	0	0	0	0	0	0	0	0	0	0	0.0296896086369771	0.127764127764128	0	0	0.0251491901108269	0.0874804193276298	0	0.00191706185046918	0	0	0	0	0	0.0137404580152672	0.0161254694057875	0.515685019206146	0.0447622008082064	0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;
Neisseria	0	0.0190239867659222	0.0184718723761545	0.0235404896421846	0.0223350253807107	0.00980898296334538	0.289545703338807	0.04266124936516	0.229362101313321	0.188849627012171	0	0	0	0	0	0.239634027642593	0.0317139001349528	0.0503685503685504	0.0543399855734552	0	0.0174765558397272	0.0403663091938788	0	0.0621531631520533	0.246560264171712	0.513493905977945	0.289106609099967	0.194590747330961	0.000635727908455181	0.0129770992366412	0.0236359620057433	0.00768245838668374	0.0155424308361828	0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Betaproteobacteriales;f__Neisseriaceae;g__Neisseria;
Prevotella-7	0	0	0.00671704450041982	0.00941619585687382	0	0.0944759938048529	0.0645867542419267	0.371762315896394	0.074577861163227	0.162544169611307	0	0	0	0	0	0.0410745571345143	0	0	0.0444818465977398	0	0.00106564364876385	0.00228943246174238	0	0.0144284128745838	0.0429279031370391	0.0319210679048172	0.0330454998339422	0.181067615658363	0	0.00356234096692112	0.0207643030704661	0	0	0	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella-7;
Haemophilus	0.000707413695529145	0.0124069478908189	0.0167926112510495	0.0536723163841808	0.033502538071066	0.283427981414559	0.247947454844007	0.129507364144236	0.167448405253283	0.152728700431881	0	0	0.00060459492140266	0	0	0.23535137239634	0.0398110661268556	0.0393120393120393	0.0286126472709786	0	0.0261082693947144	0.041089287866008	0	0.0682070426798507	0.303247110621904	0.137840975043529	0.214546662238459	0.103487544483986	0	0.0173027989821883	0.0265076209410205	0.015044814340589	0.0354367423064967	0.0054525627044711	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Haemophilus;
Acinetobacter	0	0.295285359801489	0.0134340890008396	0.0112994350282486	0.0152284263959391	0	0	0	0	0	0	0	0	0	0	0.00506131983648044	0	0	0.000961769656167348	0	0.00969735720375106	0.00759127605735631	0	0.00100897992129957	0	0	0	0	0	0.230534351145038	0.0176717472940137	0.0124839948783611	0.0167858253030774	0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;
Staphylococcus	0	0.0620347394540943	0.123425692695214	0.0612052730696798	0.0294416243654822	0	0	0	0	0	0	0	0	0.00138760407030527	0	0	0.236842105263158	0.13022113022113	0.0252464534743929	0	0.168158567774936	0.168574527051452	0	0.0495409141358087	0	0	0	0	0	0.0208651399491094	0.0508062734702894	0.0339308578745198	0.0152315822194591	0	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;
Streptococcus	0.00424448217317487	0.0463192721257237	0.168765743073048	0.0753295668549906	0.0395939086294416	0.228187919463087	0.220032840722496	0.126968004062976	0.224671669793621	0.120926580290538	0	0.000571037003197807	0.00145102781136638	0.000308356460067838	0	0.128284991240023	0.155195681511471	0.231777231777232	0.161096417408031	0.00234558248631744	0.0609548167092924	0.20050608507049	0	0.214307335284028	0.112823335167859	0.0609402205455601	0.120724011956161	0.0980782918149466	0	0.0982188295165394	0.207422133863486	0.042573623559539	0.0500466272925085	0.00436205016357688	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;
Corynebacterium-1	0	0.210090984284533	0.0856423173803526	0.0536723163841808	0.0467005076142132	0	0	0	0	0	0.000966183574879227	0	0	0	0	0.00525598598403738	0.0897435897435897	0.117526617526618	0.0343832652079827	0	0.101023017902813	0.0884443908904687	0	0.0711330844516194	0	0	0	0	0	0.191857506361323	0.0936602606582726	0.0278489116517286	0.0192726142368666	0	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium-1;
Lawsonella	0	0.0694789081885856	0.203190596137699	0	0.00913705583756345	0	0	0	0	0	0	0	0	0	0	0	0.0128205128205128	0.0237510237510237	0.00264486655446021	0	0.0165174765558397	0.0240992890709724	0	0.00332963374028857	0	0	0	0	0	0.0333333333333333	0.191738458140049	0.00704225352112676	0.0105688529686043	0	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Lawsonella;
Fusobacterium	0.000424448217317487	0.00578990901571547	0.0109151973131822	0.0131826741996234	0.0192893401015228	0.0908621579762519	0.0240831964969896	0.0543423057389538	0.0952157598499062	0.202198665096192	0	0	0	0	0	0.123029005255986	0.0195681511470985	0.00900900900900901	0.119018994950709	0	0.0354859335038363	0.00927822629232438	0	0.0393502169306831	0.093010456796918	0.0906848520023215	0.152607107273331	0.0912455516014235	0.00394151303242212	0.0188295165394402	0.0218687872763419	0.0115236875800256	0.0195834628535903	0	k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium;
Frederiksenia	0	0	0	0	0.0700507614213198	0	0	0	0	0	0	0	0	0	0	0	0	0.00327600327600328	0	0	0.00650042625745951	0.00301241113387155	0	0	0	0	0	0	0	0.00687022900763359	0	0.0128040973111396	0.154180913894933	0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Frederiksenia;
Faecalibacterium	0.0183927560837578	0	0.00419815281276238	0.0131826741996234	0	0	0	0	0	0	0.0970324361628709	0.079945180447693	0.0528415961305925	0.028677150786309	0.0827535159141377	0	0.0121457489878543	0.0040950040950041	0	0.143862392494136	0	0.0060248222677431	0.114365059328452	0	0	0	0	0	0.116211061665607	0	0.0015462778882262	0.00608194622279129	0.00373018340068387	0.0141766630316249	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium;
Veillonella	0	0.00661703887510339	0.0159529806884971	0.00659133709981168	0	0.0748580278781621	0.0552818828680898	0.142204164550533	0.0680112570356473	0.0577149587750294	0	0	0.000846432889963724	0	0	0.0578158458244111	0	0.0085995085995086	0.0269295503726857	0	0.00255754475703325	0.0102421978551633	0	0.0250227020482292	0.0539350577875619	0.0473012188044109	0.0453337761541016	0.0725978647686833	0	0.00966921119592875	0.0183344378175392	0	0.00528442648430214	0	k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Veillonellaceae;g__Veillonella;
