Taxonomy	Sample1	Sample10	Sample11	Sample12	Sample13	Sample14	Sample15	Sample16	Sample17	Sample18	Sample19	Sample2	Sample20	Sample21	Sample22	Sample23	Sample24	Sample25	Sample26	Sample27	Sample28	Sample29	Sample3	Sample30	Sample31	Sample32	Sample33	Sample34	Sample4	Sample5	Sample6	Sample7	Sample8	Sample9	Tax_detail
Bacteroides	0.648132427843803	0	0.00503778337531486	0.012241054613936	0.0130784708249497	0.00516262261228704	0.00437876299945265	0	0.00234521575984991	0	0.643340234644582	0.521927820922796	0.559613059250302	0.469164353993216	0.460843819393042	0.00058399844267082	0.024798927613941	0.00572831423895254	0	0.611415168100078	0.00307008257463477	0.00769415724933878	0.610578136834133	0.000504489960649783	0.00550357732526142	0.00130586186883343	0.000830288940551312	0.00128113879003559	0.581309599491418	0.00328282828282828	0.00220409962530306	0.00976377952755906	0.0201526717557252	0.694656488549618	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;
Neisseria	0	0.0189612530915087	0.0184718723761545	0.0235404896421846	0.0221327967806841	0.00980898296334538	0.289545703338807	0.04266124936516	0.229362101313321	0.188849627012171	0	0	0	0	0	0.239634027642593	0.0315013404825737	0.0503273322422259	0.0543399855734552	0	0.0173618462841414	0.0402741043520077	0	0.0621531631520533	0.246560264171712	0.513493905977945	0.289106609099967	0.194590747330961	0.000635727908455181	0.0128787878787879	0.0235838659907428	0.00755905511811024	0.0152671755725191	0	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Neisseriales;f__Neisseriaceae;g__Neisseria;
Pseudomonas	0	0.0206100577081616	0.0134340890008396	0.387947269303202	0.224346076458753	0	0	0	0	0	0	0	0	0	0	0	0.0294906166219839	0.127659574468085	0	0	0.024984120262545	0.0872805962971868	0	0.00191706185046918	0	0	0	0	0	0.0136363636363636	0.0160899272647124	0.50740157480315	0.043969465648855	0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;
Prevotella	0	0.00329760923330585	0.0134340890008396	0.012241054613936	0	0.129581827568405	0.0684181718664477	0.377856780091417	0.0806754221388368	0.189242245779348	0.00786749482401656	0	0	0	0	0.055090519758614	0.00804289544235925	0	0.10603510459245	0.00390930414386239	0.00984543722210459	0.00553017552296225	0	0.0351125012612249	0.0594386351128233	0.0439640162507255	0.0463301228827632	0.279430604982206	0.0108073744437381	0.00656565656565657	0.0288737050914701	0.0047244094488189	0.00610687022900763	0	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;
Corynebacterium	0	0.353668590272053	0.342569269521411	0.0536723163841808	0.0553319919517103	0	0	0	0.00187617260787992	0	0.000966183574879227	0	0	0	0	0.0068133151644929	0.103887399463807	0.141162029459902	0.0690069728300072	0	0.117510057167055	0.122144746333253	0	0.0951468065785491	0	0	0	0	0	0.292929292929293	0.317831165968702	0.0343307086614173	0.0516030534351145	0	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Corynebacteriaceae;g__Corynebacterium;
Haemophilus	0.000707413695529145	0.0123660346248969	0.0167926112510495	0.0536723163841808	0	0.283427981414559	0.247947454844007	0.129507364144236	0.167448405253283	0.152728700431881	0	0	0.00060459492140266	0	0	0.23535137239634	0.0301608579088472	0.0392798690671031	0.0286126472709786	0	0.0130213847131061	0.0371483529694638	0	0.0682070426798507	0.303247110621904	0.137840975043529	0.214546662238459	0.103487544483986	0	0.0108585858585859	0.0209389464403791	0.0062992125984252	0.00641221374045802	0.0054525627044711	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Haemophilus;
Acinetobacter	0	0.294311624072547	0.0134340890008396	0.0112994350282486	0.0150905432595573	0	0	0	0	0	0	0	0	0	0	0.00506131983648044	0	0	0.000961769656167348	0	0.00963370738937116	0.00757393604231786	0	0.00100897992129957	0	0	0	0	0	0.228787878787879	0.0176327970024245	0.0122834645669291	0.0164885496183206	0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;
Streptococcus	0.00424448217317487	0.0461665292662819	0.168765743073048	0.0753295668549906	0.0392354124748491	0.228187919463087	0.220032840722496	0.126968004062976	0.224671669793621	0.120926580290538	0	0.000571037003197807	0.00145102781136638	0.000308356460067838	0	0.128284991240023	0.154155495978552	0.231587561374795	0.161096417408031	0.00234558248631744	0.0605547321617616	0.200048088482808	0	0.214307335284028	0.112823335167859	0.0609402205455601	0.120724011956161	0.0980782918149466	0	0.0974747474747475	0.206964954815958	0.0418897637795276	0.0491603053435115	0.00436205016357688	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;
Fusobacterium	0.000424448217317487	0	0.0109151973131822	0.0131826741996234	0	0.0908621579762519	0.0240831964969896	0.0543423057389538	0.0952157598499062	0.202198665096192	0	0	0	0	0	0.123029005255986	0.00737265415549598	0.00900163666121113	0.119018994950709	0	0.0039170019055685	0.00733349362827603	0	0.0393502169306831	0.093010456796918	0.0906848520023215	0.152607107273331	0.0912455516014235	0.00394151303242212	0.00782828282828283	0.018734846815076	0	0.0033587786259542	0	k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium;
Faecalibacterium	0.0183927560837578	0	0.00419815281276238	0.0131826741996234	0	0	0	0	0	0	0.0996549344375431	0.079945180447693	0.0629987908101572	0.0394696268886833	0.0871946706143597	0	0.0120643431635389	0.00409165302782324	0	0.143862392494136	0	0.00601106035104592	0.114365059328452	0	0	0	0	0	0.116211061665607	0	0.00154286973771214	0.00598425196850394	0.00366412213740458	0.0141766630316249	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium;
