Gene	Symbol	Description At Homolog	
Zm00001d000001	ppo1	polyphenol oxidase1	
Zm00001d000002	du1	dull endosperm1	AT1G11720
Zm00001d000004		Postsynaptic protein CRIPT	AT1G61780
Zm00001d000005		myosin heavy chain-related	AT1G50660,AT3G20350
Zm00001d000006		Germin-like protein subfamily 1 member 11	AT5G38960,AT5G39130,AT5G38930,AT5G38910,AT5G39150,AT5G38940,AT5G39160,AT5G39120,AT5G39180,AT5G39190,AT4G14630,AT3G04200,AT3G05950,AT5G39110
Zm00001d000008		Germin-like protein subfamily 1 member 8	AT5G38960,AT5G39130,AT5G38930,AT5G38910,AT5G39150,AT5G38940,AT5G39160,AT5G39120,AT5G39180,AT5G39190,AT4G14630,AT3G04200,AT3G05950,AT5G39110
Zm00001d000009	ufo1	unstable factor for orange1	
Zm00001d000011		glyoxalase I homolog	
Zm00001d000012		Germin-like protein subfamily 1 member 8	AT5G38960,AT5G39130,AT5G38930,AT5G38910,AT5G39150,AT5G38940,AT5G39160,AT5G39120,AT5G39180,AT5G39190,AT4G14630,AT3G04200,AT3G05950,AT5G39110
Zm00001d000013		Reverse transcriptase	
Zm00001d000016		Fatty acid desaturase 4 chloroplastic	AT4G27030,AT2G22890,AT1G62190
Zm00001d000017		Germin-like protein	AT5G38960,AT5G39130,AT5G38930,AT5G38910,AT5G39150,AT5G38940,AT5G39160,AT5G39120,AT5G39180,AT5G39190,AT4G14630,AT3G04200,AT3G05950,AT5G39110
Zm00001d000018		Germin-like protein subfamily 1 member 8	AT5G38960,AT5G39130,AT5G38930,AT5G38910,AT5G39150,AT5G38940,AT5G39160,AT5G39120,AT5G39180,AT5G39190,AT4G14630,AT3G04200,AT3G05950,AT5G39110
Zm00001d000020		Fatty acid desaturase 4 chloroplastic	AT4G27030,AT2G22890,AT1G62190
Zm00001d000021	gpt1	glucose 6-phosphate/phosphate translocator1	AT1G61800,AT5G54800
Zm00001d000023		Polyadenylation and cleavage factor homolog 5	AT4G04885
Zm00001d000026		UDP-N-acetylglucosamine (UAA) transporter family	
Zm00001d000027		Pleiotropic drug resistance ABC transporter family protein	
Zm00001d000028		hydroxyproline-rich glycoprotein family protein	AT3G60380
Zm00001d000029		Dual-specificity protein-like phosphatase 1%3B Protein-tyrosine phosphatase mitochondrial 1	AT2G35680
Zm00001d000030		RNA-binding KH domain-containing protein PEPPER	AT4G26000
Zm00001d000032		Protein TAPETUM DETERMINANT 1	AT4G24972,AT1G32583
Zm00001d000034		Protein kinase superfamily protein	AT4G16970
Zm00001d000037		Phospholipase A1-Ibeta2 chloroplastic	AT4G16820
Zm00001d000038		Serine/threonine-protein kinase D6PKL1	
Zm00001d000040		alpha/beta-Hydrolases superfamily protein	
Zm00001d000041		alpha/beta-Hydrolases superfamily protein	
Zm00001d000042		Protein ARABIDILLO 1	AT3G60350,AT2G44900
Zm00001d000044		U-box domain-containing protein 31	
Zm00001d000045	thx28	Trihelix-transcription factor 28	AT2G44730
